city,state,singel_family
Fairbury, IL,96.6%
Fairchance, PA,
Fairchild, WI,90.6%
Fairchilds, TX,
Fairdealing, MO,
Fairfax Station, VA,101.3%
Fairfax, CA,98.6%
Fairfax, IA,100.0%
Fairfax, OH,100.1%
Fairfax, OK,97.6%
Fairfax, VA,100.8%
Fairfax, VT,
Fairfield Beach, OH,91.4%
Fairfield Glade, TN,95.8%
Fairfield Harbour, NC,96.8%
Fairfield Plantation, GA,97.5%
Fairfield, AL,94.5%
Fairfield, CA,100.2%
Fairfield, IA,95.6%
Fairfield, ID,94.5%
Fairfield, KY,
Fairfield, NY,
Fairfield, OH,100.2%
Fairfield, PA,103.6%
Fairfield, TN,
Fairfield, UT,
Fairfield, WA,94.9%
Fairforest, SC,98.9%
Fairgarden, TN,101.7%
Fairhaven, MA,99.8%
Fairhaven, MN,
Fairhope, AL,97.7%
Fairhope, PA,102.2%
Fairland, IN,100.0%
Fairland, MD,103.3%
Fairland, OK,100.0%
Fairlawn, OH,101.0%
Fairlawn, VA,100.0%
Fairlee, VT,
Fairless Hills, PA,101.1%
Fairmead, CA,89.7%
Fairmont City, IL,
Fairmont, IL,104.8%
Fairmont, MN,95.1%
Fairmont, NC,100.0%
Fairmont, OK,
Fairmont, WV,94.6%
Fairmount Heights, MD,99.8%
Fairmount, CO,99.5%
Fairmount, GA,
Fairmount, IL,
Fairmount, IN,97.4%
Fairmount, ND,
Fairmount, NY,106.2%
Fairplains, NC,
Fairplay, CO,94.6%
Fairplay, GA,
Fairplay, MD,
Fairport Harbor, OH,99.0%
Fairport, IA,
Fairport, NY,110.9%
Fairton, NJ,101.0%
Fairview Heights, IL,99.3%
Fairview Park, IN,84.7%
Fairview Park, OH,102.8%
Fairview Shores, FL,98.7%
Fairview-Ferndale, PA,84.4%
Fairview, AL,
Fairview, CA,104.3%
Fairview, IL,
Fairview, KY,
Fairview, MD,
Fairview, MO,
Fairview, NC,97.5%
Fairview, NJ,102.8%
Fairview, NY,98.5%
Fairview, OR,98.3%
Fairview, PA,99.9%
Fairview, TN,100.3%
Fairview, TX,96.7%
Fairview, WV,
Fairwater, WI,81.7%
Fairway, KS,
Fairwood, MD,100.7%
Fairwood, WA,101.4%
Faith, NC,92.4%
Faith, SD,
Falcon Heights, MN,96.8%
Falcon Heights, OR,
Falcon Lake Estates, TX,96.6%
Falcon Mesa, TX,
Falcon, NC,
Falconer, NY,98.2%
Falkville, AL,
Fall Branch, TN,
Fall City, WA,88.8%
Fall Creek, WI,100.4%
Fall River Mills, CA,
Fall River, MA,100.2%
Fall River, WI,96.4%
Fallbrook, CA,98.7%
Falling Waters, WV,102.1%
Fallon, NV,98.7%
Falls Church, VA,101.2%
Falls City, OR,100.0%
Falls Village, CT,100.0%
Fallston, MD,101.5%
Fallston, NC,92.9%
Fallston, PA,
Falmouth Foreside, ME,
Falmouth, KY,97.2%
Falmouth, MA,96.7%
Falmouth, ME,99.4%
Falmouth, MI,79.8%
Falmouth, PA,
Falmouth, VA,98.8%
Falun, KS,
Fancy Farm, KY,
Fannett, TX,
Fanning Springs, FL,95.4%
Fanwood, NJ,108.2%
Far Hills, NJ,98.9%
Farber, MO,
Fargo, OK,
Faribault, MN,99.7%
Farley, IA,
Farley, KY,106.4%
Farm Loop, AK,96.5%
Farmers Branch, TX,97.8%
Farmers Loop, AK,
Farmersburg, IN,
Farmersville, CA,86.7%
Farmersville, NY,
Farmersville, OH,100.0%
Farmersville, TX,96.1%
Farmerville, LA,100.0%
Farmingdale, ME,107.2%
Farmingdale, NJ,101.0%
Farmingdale, NY,103.3%
Farmington Hills, MI,99.9%
Farmington, AR,99.7%
Farmington, CA,
Farmington, DE,
Farmington, IL,97.6%
Farmington, KY,
Farmington, MI,100.2%
Farmington, MN,100.6%
Farmington, MO,95.1%
Farmington, MS,62.5%
Farmington, NC,
Farmington, NH,99.9%
Farmington, NM,
Farmington, NY,116.8%
Farmington, PA,
Farmington, UT,99.2%
Farmingville, NY,107.4%
Farmville, NC,116.7%
Farnam, NE,90.9%
Farner, TN,
Farnham, NY,
Farr West, UT,98.6%
Farragut, TN,97.4%
Farrell, PA,96.7%
Farwell, PA,
Fate, TX,97.6%
Faucett, MO,98.5%
Fawn Grove, PA,100.0%
Fawn Lake Forest, PA,96.2%
Faxon, OK,
Faxon, PA,
Fayette City, PA,
Fayette, MO,
Fayette, NY,100.0%
Fayette, OH,90.9%
Fayetteville, AL,
Fayetteville, AR,98.5%
Fayetteville, GA,98.7%
Fayetteville, IL,
Fayetteville, NC,98.4%
Fayetteville, NY,107.5%
Fayetteville, OH,
Fayetteville, PA,107.6%
Faysville, TX,
Fearrington Village, NC,100.5%
Feasterville, PA,100.0%
Feather Sound, FL,97.9%
Federal Dam, MN,
Federal Heights, CO,100.0%
Federal Way, WA,99.1%
Felicity, OH,84.4%
Felida, WA,99.2%
Fellsburg, PA,
Fellsmere, FL,
Felsenthal, AR,
Felton, CA,100.6%
Felton, DE,100.0%
Felton, PA,101.1%
Felts Mills, NY,
Fenner, NY,104.0%
Fennimore, WI,99.5%
Fennville, MI,100.6%
Fenton, MI,101.3%
Fenton, MO,102.2%
Fenton, NY,101.8%
Fenwick, CT,
Ferdinand, IN,100.0%
Fergus Falls, MN,97.8%
Ferguson, IA,
Ferguson, KY,
Ferguson, MO,96.4%
Fern Acres, HI,108.9%
Fern Forest, HI,
Fern Park, FL,100.3%
Fern Prairie, WA,95.6%
Fernan Lake Village, ID,
Fernandina Beach, FL,97.9%
Ferndale, CA,100.2%
Ferndale, FL,98.1%
Ferndale, MD,102.2%
Ferndale, MI,100.8%
Ferndale, PA,93.5%
Ferndale, WA,99.5%
Fernley, NV,99.1%
Fernville, PA,
Fernway, PA,97.5%
Fernwood, MS,
Ferrelview, MO,
Ferriday, LA,
Ferris, IL,
Ferris, TX,98.8%
Ferrum, VA,
Ferry Pass, FL,99.0%
Ferrysburg, MI,101.4%
Fertile, IA,
Festus, MO,100.3%
Fetters Hot Springs-Agua Caliente, CA,99.9%
Fidelis, FL,
Fidelity, IL,
Fidelity, MO,
Fieldale, VA,103.6%
Fieldbrook, CA,
Fielding, UT,
Fieldon, IL,106.8%
Fields Landing, CA,
Fieldsboro, NJ,101.7%
Fife Heights, WA,96.5%
Fife Lake, MI,99.3%
Fife, WA,99.8%
Fifth Street, TX,100.0%
Fifty Lakes, MN,
Filer, ID,
Filley, NE,
Fillmore, CA,101.5%
Fillmore, IN,94.6%
Fincastle, KY,94.3%
Fincastle, TN,100.0%
Fincastle, VA,98.3%
Finderne, NJ,96.9%
Findlay, OH,98.6%
Fine, NY,91.9%
Finesville, NJ,
Finklea, SC,
Finley, TN,103.8%
Finley, WA,100.0%
Finleyville, PA,111.5%
Finneytown, OH,100.6%
Fircrest, WA,99.7%
Fire Island, NY,92.5%
Firebaugh, CA,94.1%
Firestone, CO,99.7%
Firth, ID,
Firth, NE,99.6%
Firthcliffe, NY,100.4%
Fish Hawk, FL,97.9%
Fish Lake, IN,89.5%
Fish Springs, NV,100.0%
Fisher, IL,100.0%
Fishers Island, NY,
Fishers Landing, NY,
Fishers, IN,99.2%
Fishersville, VA,96.3%
Fishhook, AK,97.5%
Fishing Creek, MD,92.3%
Fishkill, NY,96.2%
Fisk, MO,104.4%
Fiskdale, MA,101.1%
Fitchburg, MA,102.9%
Fitchburg, WI,99.9%
Fithian, IL,92.2%
Fitzgerald, GA,94.5%
Fitzhugh, OK,
Five Corners, WA,99.8%
Five Forks, SC,98.9%
Five Points, FL,
Five Points, NC,100.0%
Five Points, OH,97.9%
Fivepointville, PA,
Flagler Beach, FL,93.9%
Flagler Estates, FL,93.2%
Flagstaff, AZ,99.0%
Flagtown, NJ,107.0%
Flanagan, IL,97.3%
Flanders, NJ,106.6%
Flanders, NY,97.4%
Flasher, ND,
Flat Lick, KY,75.6%
Flat Rock, MI,103.4%
Flat Rock, NC,94.8%
Flat, TX,
Flatwoods, KY,102.0%
Fleetwood, PA,102.7%
Fleming Island, FL,97.9%
Fleming, CO,
Fleming, MO,
Fleming, NY,94.8%
Flemington, GA,100.6%
Flemington, MO,
Flemington, NJ,102.1%
Flemington, PA,97.2%
Flemington, WV,
Fletcher, NC,97.6%
Fletcher, OH,101.4%
Fletcher, OK,100.0%
Flint Hill, MO,
Flint Hill, VA,94.7%
Flint, MI,95.5%
Flintstone, MD,84.2%
Flomaton, AL,
Flora Vista, NM,
Flora, IN,96.4%
Flora, MS,
Floral City, FL,99.2%
Floral Park, NY,100.1%
Floraville, IL,
Flordell Hills, MO,97.3%
Florence-Graham, CA,103.0%
Florence, AL,95.2%
Florence, AZ,99.0%
Florence, CO,100.1%
Florence, KY,99.3%
Florence, MS,99.6%
Florence, NJ,93.8%
Florence, OR,93.3%
Florence, SC,98.1%
Florence, SD,
Florence, TX,
Florence, WI,76.9%
Floresville, TX,97.6%
Florham Park, NJ,102.1%
Florida,,97.0%
Florida City, FL,99.9%
Florida Ridge, FL,95.3%
Florida, MA,
Florida, NY,100.0%
Floridatown, FL,96.5%
Florin, CA,100.5%
Floris, VA,102.3%
Florissant, CO,
Florissant, MO,99.4%
Flossmoor, IL,99.4%
Flourtown, PA,96.5%
Flovilla, GA,94.3%
Flower Hill, MD,100.5%
Flower Hill, NY,97.8%
Flower Mound, TX,98.1%
Flowery Branch, GA,96.0%
Flowing Wells, AZ,
Flowood, MS,98.2%
Floyd Hill, CO,97.7%
Floyd, AR,
Flushing, MI,99.7%
Flushing, OH,
Fly Creek, NY,100.6%
Flying Hills, PA,99.7%
Fobes Hill, WA,96.3%
Folcroft, PA,100.0%
Foley, AL,97.7%
Foley, MN,97.1%
Foley, MO,96.4%
Follansbee, WV,100.0%
Folly Beach, SC,95.5%
Folsom, CA,99.5%
Folsom, LA,96.0%
Folsom, NJ,
Folsom, PA,105.0%
Fond du Lac, WI,100.4%
Fonda, NY,100.0%
Fontana-on-Geneva Lake, WI,96.1%
Fontana, CA,99.8%
Fontana, KS,
Fontanelle, NE,93.0%
Fontanet, IN,
Foot of Ten, PA,
Foothill Farms, CA,100.1%
Foothill Ranch, CA,100.5%
Foots Creek, OR,100.1%
Footville, WI,100.0%
Forada, MN,
Forbestown, CA,
Ford City, CA,97.0%
Ford City, PA,100.0%
Ford Cliff, PA,
Ford Heights, IL,
Ford, KS,
Fordland, MO,
Fordoche, LA,
Fords Prairie, WA,97.1%
Fords, NJ,101.3%
Foreman, AR,
Forest City, FL,97.5%
Forest City, NC,96.3%
Forest Falls, CA,
Forest Glen, MD,99.0%
Forest Grove, OR,98.7%
Forest Heights, MD,99.6%
Forest Heights, TX,98.5%
Forest Hill Village, MT,
Forest Hill, TX,98.7%
Forest Hills, KY,
Forest Hills, MI,97.9%
Forest Hills, NC,
Forest Hills, PA,96.2%
Forest Hills, TN,85.5%
Forest Home, NY,
Forest Junction, WI,96.4%
Forest Lake, IL,107.9%
Forest Lake, MN,99.6%
Forest Lakes, AZ,96.1%
Forest Oaks, NC,94.6%
Forest Park, GA,97.2%
Forest Park, IL,
Forest Park, OH,101.9%
Forest Park, OK,
Forest Ranch, CA,96.2%
Forest View, IL,
Forest, VA,98.7%
Forestbrook, SC,98.3%
Forestdale, AL,98.5%
Forestdale, MA,102.7%
Foresthill, CA,99.4%
Foreston, MN,
Forestport, NY,
Forestville, CA,101.8%
Forestville, MD,105.3%
Forestville, NY,
Forestville, OH,98.4%
Forestville, PA,
Foristell, MO,101.2%
Forked River, NJ,100.8%
Forks, WA,99.6%
Forney, TX,97.0%
Forrest City, AR,87.9%
Forrest, IL,
Forreston, IL,97.1%
Forsan, TX,
Forsgate, NJ,107.0%
Forsyth, GA,99.3%
Forsyth, IL,100.6%
Forsyth, MO,
Fort Ann, NY,120.2%
Fort Ashby, WV,99.1%
Fort Atkinson, WI,99.7%
Fort Bliss, TX,
Fort Braden, FL,
Fort Bragg, CA,99.2%
Fort Bridger, WY,
Fort Calhoun, NE,
Fort Collins, CO,98.5%
Fort Covington Hamlet, NY,100.0%
Fort Covington, NY,100.0%
Fort Denaud, FL,96.2%
Fort Deposit, AL,
Fort Devens, MA,
Fort Dick, CA,
Fort Dodge, IA,94.5%
Fort Edward, NY,99.1%
Fort Fetter, PA,103.8%
Fort Gibson, OK,96.2%
Fort Green, FL,
Fort Hall, ID,
Fort Hill, OR,
Fort Hunt, VA,100.0%
Fort Johnson, NY,100.0%
Fort Klamath, OR,
Fort Lauderdale, FL,96.2%
Fort Lawn, SC,96.8%
Fort Lee, NJ,99.9%
Fort Loramie, OH,
Fort Loudon, PA,100.3%
Fort Lupton, CO,100.3%
Fort Madison, IA,94.2%
Fort McKinley, OH,126.5%
Fort Meade, FL,97.4%
Fort Mill, SC,99.3%
Fort Mitchell, KY,99.2%
Fort Mohave, AZ,98.2%
Fort Montgomery, NY,
Fort Morgan, CO,98.3%
Fort Myers Beach, FL,96.5%
Fort Myers Shores, FL,98.4%
Fort Myers, FL,95.0%
Fort Payne, AL,98.1%
Fort Pierce North, FL,94.5%
Fort Pierce South, FL,96.9%
Fort Pierce, FL,95.6%
Fort Pierre, SD,96.7%
Fort Plain, NY,
Fort Recovery, OH,
Fort Ripley, MN,
Fort Salonga, NY,100.3%
Fort Seneca, OH,
Fort Shaw, MT,
Fort Shawnee, OH,99.8%
Fort Smith, AR,96.2%
Fort Stewart, GA,
Fort Supply, OK,
Fort Thomas, AZ,
Fort Thomas, KY,97.2%
Fort Valley, AZ,94.2%
Fort Valley, GA,97.0%
Fort Walton Beach, FL,96.6%
Fort Washakie, WY,
Fort Washington, CA,
Fort Washington, MD,99.7%
Fort Washington, PA,101.0%
Fort Wayne, IN,98.8%
Fort White, FL,96.9%
Fort Wingate, NM,
Fort Worth, TX,98.0%
Fort Wright, KY,98.2%
Fortescue, NJ,
Fortuna Foothills, AZ,99.3%
Fortuna, CA,97.6%
Fortville, IN,97.9%
Forty Fort, PA,99.5%
Foscoe, NC,98.7%
Foster Brook, PA,
Foster Center, RI,104.8%
Foster City, CA,99.3%
Foster, IN,
Foster, RI,100.1%
Fostoria, IA,98.9%
Fostoria, OH,98.9%
Fouke, AR,
Foundryville, PA,
Fountain City, IN,131.8%
Fountain Hill, PA,98.0%
Fountain Hills, AZ,96.1%
Fountain Inn, SC,97.8%
Fountain Lake, AR,91.4%
Fountain N' Lakes, MO,100.0%
Fountain Springs, PA,
Fountain Valley, CA,99.9%
Fountain, CO,
Fountain, MI,99.2%
Fountain, MN,94.5%
Fountain, NC,
Fountainebleau, FL,100.1%
Fountainhead-Orchard Hills, MD,97.9%
Four Bridges, OH,98.2%
Four Corners, FL,97.1%
Four Corners, MD,102.3%
Four Corners, MT,
Four Corners, OR,99.5%
Four Corners, TX,98.2%
Four Lakes, WA,
Four Oaks, NC,96.8%
Four Square Mile, CO,99.2%
Fourche, AR,
Fowler, CA,100.6%
Fowler, IL,
Fowler, IN,97.6%
Fowler, MI,
Fowler, NY,
Fowlerton, IN,
Fowlerville, MI,100.0%
Fowlerville, NY,
Fowlkes, TN,
Fox Chapel, PA,92.2%
Fox Chase, KY,
Fox Chase, PA,102.5%
Fox Crossing, WI,104.5%
Fox Farm-College, WY,
Fox Island, WA,99.8%
Fox Lake Hills, IL,100.3%
Fox Lake, IL,98.2%
Fox Lake, WI,98.9%
Fox Park, WY,
Fox Point, WI,98.0%
Fox River Grove, IL,100.9%
Fox River Valley Gardens, IL,98.7%
Fox Run, PA,102.2%
Fox, AK,
Fox, OK,
Foxborough, MA,99.6%
Foxfield, CO,96.9%
Foxfire, NC,100.0%
Foxhome, MN,
Foyil, OK,
Frackville, PA,106.3%
Framingham, MA,105.5%
Francestown, NH,
Francis Creek, WI,
Francis, OK,
Francis, UT,91.0%
Francisville, KY,97.6%
Franconia, VA,102.5%
Frankclay, MO,
Frankenmuth, MI,94.3%
Frankfort Square, IL,100.7%
Frankfort, IL,98.7%
Frankfort, IN,100.2%
Frankfort, KY,98.1%
Frankfort, MI,100.0%
Frankfort, NY,106.1%
Frankfort, OH,
Franklin Center, NJ,108.3%
Franklin Farm, VA,104.4%
Franklin Furnace, OH,103.2%
Franklin Grove, IL,94.5%
Franklin Lakes, NJ,93.3%
Franklin Park, FL,99.0%
Franklin Park, IL,101.9%
Franklin Park, NJ,103.4%
Franklin Park, PA,99.6%
Franklin Square, NY,98.7%
Franklin Town, MA,101.8%
Franklin, CA,100.8%
Franklin, GA,
Franklin, IA,
Franklin, ID,98.6%
Franklin, IL,
Franklin, IN,97.7%
Franklin, KS,
Franklin, LA,100.0%
Franklin, MA,101.8%
Franklin, MD,100.0%
Franklin, MI,95.5%
Franklin, NH,100.1%
Franklin, NJ,102.3%
Franklin, NY,
Franklin, OH,97.8%
Franklin, PA,96.5%
Franklin, TN,98.1%
Franklin, TX,100.1%
Franklin, VA,104.5%
Franklin, WI,101.3%
Franklinton, LA,89.8%
Franklinton, NC,
Franklintown, PA,
Franklinville, NC,98.9%
Franklinville, NJ,
Franklinville, NY,
Frankston, TX,
Frankton, IN,
Franktown, CO,
Fraser, IA,
Fraser, MI,94.2%
Frazer, PA,
Frazeysburg, OH,
Frazier Park, CA,96.3%
Frederica, DE,112.6%
Frederick, CO,99.1%
Frederick, MD,103.4%
Frederick, SD,
Fredericksburg, OH,
Fredericksburg, PA,96.2%
Fredericksburg, TX,99.7%
Fredericksburg, VA,101.6%
Frederickson, WA,100.8%
Fredericktown, OH,100.0%
Fredericktown, PA,
Frederika, IA,
Fredonia, AL,
Fredonia, AZ,
Fredonia, NY,99.9%
Fredonia, PA,
Fredonia, WI,97.1%
Free Soil, MI,100.3%
Freeborn, MN,
Freeburg, IL,102.3%
Freeburg, PA,
Freedom Plains, NY,
Freedom, CA,
Freedom, NY,84.7%
Freedom, PA,94.7%
Freehold, NJ,104.4%
Freeland, MD,95.9%
Freeland, MI,99.8%
Freeland, PA,92.8%
Freeland, WA,98.8%
Freelandville, IN,
Freeman, MO,
Freemansburg, PA,
Freeport, FL,99.1%
Freeport, IL,99.9%
Freeport, ME,99.8%
Freeport, MN,
Freeport, NY,101.6%
Freeport, PA,98.6%
Freeport, TX,100.0%
Freer, TX,
Freetown, IN,100.0%
Freetown, MA,92.4%
Freetown, NY,
Freeville, NY,93.9%
Fremont Hills, MO,
Fremont, CA,103.9%
Fremont, IA,
Fremont, IN,100.0%
Fremont, NC,83.5%
Fremont, NE,95.0%
Fremont, OH,99.5%
French Camp, CA,100.0%
French Gulch, CA,
French Island, WI,97.0%
French Settlement, LA,
French Valley, CA,100.8%
Frenchburg, KY,
Frenchtown, MT,
Frenchtown, NJ,
Fresno, CA,99.5%
Fresno, OH,
Fresno, TX,97.0%
Frewsburg, NY,
Friant, CA,
Fridley, MN,102.1%
Friedens, PA,
Friedensburg, PA,95.9%
Friendly, MD,99.0%
Friendship, AR,100.0%
Friendship, MD,
Friendship, OH,93.6%
Friendship, TN,
Friendsville, TN,94.7%
Friendswood, TX,97.9%
Friesland, WI,
Friesville, PA,
Fripp Island, SC,95.1%
Frisco, CO,96.3%
Frisco, NC,95.9%
Frisco, PA,100.0%
Frisco, TX,98.0%
Fritch, TX,
Frizzleburg, PA,
Fromberg, MT,
Front Royal, VA,99.8%
Frontenac, KS,94.9%
Frontenac, MO,107.0%
Frost, TX,
Frostburg, MD,97.0%
Frostproof, FL,97.2%
Fruit Cove, FL,97.9%
Fruit Heights, UT,97.6%
Fruit Hill, OH,96.3%
Fruita, CO,97.8%
Fruitdale, CA,108.5%
Fruitland Park, FL,98.2%
Fruitland, IA,100.0%
Fruitland, ID,99.6%
Fruitland, NC,100.0%
Fruitland, NM,
Fruitport, MI,
Fruitridge Pocket, CA,101.9%
Fruitvale, CO,99.4%
Fruitville, FL,95.7%
Frytown, IA,97.7%
Fulford, CO,
Fuller Acres, CA,
Fuller Heights, FL,97.1%
Fullerton, CA,99.7%
Fullerton, PA,102.5%
Fulshear, TX,96.3%
Fulton, CA,
Fulton, IL,84.0%
Fulton, MD,100.9%
Fulton, MI,
Fulton, MO,
Fulton, MS,
Fulton, NY,105.6%
Fulton, OH,91.1%
Fulton, SD,
Fulton, TX,
Fulton, WI,
Fultondale, AL,94.3%
Fultonham, OH,
Fultonville, NY,99.3%
Fults, IL,
Funkstown, MD,99.9%
Fuquay-Varina, NC,99.4%
Fussels Corner, FL,98.2%
Fyffe, AL,95.6%
Gadsden, AL,95.2%
Gadsden, TN,96.0%
Gaffney, SC,97.5%
Gage, OK,94.2%
Gages Lake, IL,103.0%
Gahanna, OH,100.0%
Gaines, MI,94.5%
Gaines, NY,
Gainesboro, TN,98.3%
Gainesville, FL,97.3%
Gainesville, GA,97.1%
Gainesville, TX,98.2%
Gainesville, VA,99.5%
Gaithersburg, MD,101.2%
Galatia, KS,
Galen, NY,95.5%
Galena Park, TX,93.2%
Galena, IN,96.1%
Galena, OH,
Gales Ferry, CT,101.9%
Galesburg, IL,96.5%
Galesburg, MI,100.8%
Galestown, MD,
Galesville, MD,
Galeville, NY,114.4%
Galien, MI,
Galion, OH,101.1%
Galisteo, NM,63.3%
Gallant, AL,
Gallatin Gateway, MT,
Gallatin River Ranch, MT,
Gallatin, NY,99.1%
Gallatin, TN,98.4%
Gallatin, TX,
Gallaway, TN,
Galliano, LA,90.9%
Gallipolis Ferry, WV,
Gallipolis, OH,
Gallitzin, PA,102.3%
Gallup, NM,
Galt, CA,99.3%
Galt, IL,
Galva, IL,96.4%
Galva, KS,
Galveston, IN,
Galveston, TX,94.7%
Galway, NY,
Gamaliel, AR,
Gambier, OH,98.2%
Gambrills, MD,101.9%
Gamewell, NC,97.6%
Gananda, NY,126.6%
Gandys Beach, NJ,
Gang Mills, NY,99.1%
Gann (Brinkhaven), OH,
Gans, OK,
Gantt, SC,96.7%
Gap, PA,100.0%
Garber, OK,100.0%
Garberville, CA,96.0%
Garcon Point, FL,100.2%
Garden Acres, CA,100.2%
Garden City Park, NY,100.0%
Garden City South, NY,107.8%
Garden City, AL,
Garden City, CO,
Garden City, GA,100.0%
Garden City, ID,98.0%
Garden City, KS,
Garden City, MI,105.1%
Garden City, MO,
Garden City, NY,103.7%
Garden City, SC,97.6%
Garden Farms, CA,
Garden Grove, CA,104.3%
Garden Grove, FL,
Garden Home-Whitford, OR,101.4%
Garden Plain, KS,99.0%
Garden Prairie, IL,
Garden Ridge, TX,97.9%
Garden Valley, ID,104.3%
Garden View, PA,
Garden, MI,
Gardena, CA,102.3%
Gardendale, AL,99.5%
Gardendale, TX,
Gardere, LA,97.5%
Gardiner, ME,101.6%
Gardiner, NY,
Gardiner, OR,
Gardner, FL,100.0%
Gardner, IL,111.2%
Gardner, KS,
Gardner, MA,103.7%
Gardners, PA,
Gardnertown, NY,103.5%
Gardnerville Ranchos, NV,97.7%
Gardnerville, NV,98.4%
Garfield Heights, OH,98.0%
Garfield, AR,
Garfield, MN,100.0%
Garfield, NJ,103.8%
Garfield, TX,83.3%
Garfield, WA,
Garland, NE,
Garland, TN,
Garland, TX,98.2%
Garland, UT,98.5%
Garner, NC,99.6%
Garner, TX,97.7%
Garnet, CA,100.4%
Garrattsville, NY,
Garretson, SD,93.8%
Garrett Park, MD,
Garrett, IN,99.1%
Garrett, PA,62.7%
Garrett, TX,
Garrett, WA,98.2%
Garretts Mill, MD,
Garrettsville, OH,
Garrison, IA,
Garrison, MD,93.4%
Garrison, MN,
Garrison, TX,
Garvin, MN,
Garwood, NJ,102.7%
Gary, IN,92.7%
Garysburg, NC,
Garyville, LA,
Garza-Salinas II, TX,
Gas City, IN,95.4%
Gasport, NY,87.5%
Gasquet, CA,100.0%
Gassville, AR,98.9%
Gaston, IN,99.1%
Gaston, NC,
Gaston, OR,
Gastonia, NC,97.8%
Gastonville, PA,97.5%
Gate City, VA,96.6%
Gates Mills, OH,92.9%
Gates, NY,121.5%
Gates, OR,
Gatesville, NC,
Gatesville, TX,97.0%
Gateway, AK,99.8%
Gateway, AR,
Gateway, FL,95.3%
Gatlinburg, TN,94.1%
Gauley Bridge, WV,
Gautier, MS,97.6%
Gay, GA,
Gayle Mill, SC,56.3%
Gaylordsville, CT,101.0%
Gayville, SD,112.9%
Gearhart, OR,98.6%
Geary, OK,87.2%
Geddes, NY,107.7%
Geistown, PA,100.9%
Gem Lake, MN,91.4%
Genesee, CO,99.2%
Genesee, ID,96.2%
Geneseo, IL,99.8%
Geneseo, NY,104.5%
Geneva-on-the-Lake, OH,
Geneva, AL,93.9%
Geneva, FL,94.1%
Geneva, IL,98.4%
Geneva, IN,97.4%
Geneva, MN,
Geneva, NY,101.5%
Geneva, OH,102.3%
Geneva, PA,
Geneva, WA,103.9%
Genoa City, WI,
Genoa, AR,
Genoa, IL,99.4%
Genoa, NV,97.5%
Genoa, NY,
Genoa, OH,92.4%
Genola, UT,94.6%
Gentry, AR,100.4%
George Mason, VA,99.4%
George, WA,100.0%
Georgetown-Quitman County, GA,
Georgetown-Quitman, GA,
Georgetown, CA,95.6%
Georgetown, CO,
Georgetown, CT,99.0%
Georgetown, GA,98.9%
Georgetown, IL,101.8%
Georgetown, IN,99.4%
Georgetown, KY,99.6%
Georgetown, MA,106.4%
Georgetown, NY,
Georgetown, OH,99.0%
Georgetown, PA,90.6%
Georgetown, SC,96.7%
Georgetown, TX,97.2%
Georgia,,97.9%
Gerald, MO,97.6%
Geraldine, AL,
Gerber, CA,96.4%
Gering, NE,98.8%
German Flatts, NY,98.5%
German Valley, IL,100.0%
Germanton, NC,89.6%
Germantown Hills, IL,101.2%
Germantown, IL,94.1%
Germantown, KY,
Germantown, MD,101.8%
Germantown, NY,
Germantown, OH,98.3%
Germantown, TN,97.4%
Germantown, WI,101.9%
Geronimo Estates, AZ,
Geronimo, OK,100.0%
Geronimo, TX,98.3%
Gerry, NY,95.1%
Gerton, NC,100.0%
Gervais, OR,106.4%
Gettysburg, OH,
Gettysburg, PA,98.6%
Geyserville, CA,
Ghent, MN,
Ghent, NY,92.9%
Gholson, TX,
Gibbon, NE,96.0%
Gibbsboro, NJ,98.5%
Gibbstown, NJ,108.1%
Gibbsville, WI,
Gibraltar, MI,102.8%
Gibraltar, PA,
Gibson, AR,99.1%
Gibson, NC,
Gibson, TN,
Gibsonburg, OH,100.0%
Gibsonia, PA,94.1%
Gibsonton, FL,105.2%
Gibsonville, NC,99.0%
Gideon, OK,
Gifford, FL,96.0%
Gifford, IL,92.3%
Gig Harbor, WA,99.4%
Gila Bend, AZ,100.0%
Gilbert, AZ,98.3%
Gilbert, IA,
Gilberton, PA,
Gilberts, IL,99.1%
Gilbertsville, NY,
Gilbertsville, PA,104.5%
Gilbertville, IA,97.0%
Gilboa, NY,95.6%
Gilchrist, OR,
Gilcrest, CO,98.8%
Gilgo, NY,
Gill, MA,107.2%
Gillespie, IL,101.0%
Gillett Grove, IA,
Gillett, WI,
Gillette, NJ,113.4%
Gilliam, LA,
Gilliam, MO,
Gillis, LA,
Gillisonville, SC,
Gillsville, GA,
Gilman, IA,
Gilman, MN,
Gilman, MT,
Gilmer, TX,
Gilroy, CA,99.8%
Gilt Edge, TN,
Girard, GA,
Girard, IL,87.5%
Girard, KS,89.1%
Girard, OH,97.6%
Girard, PA,98.3%
Girardville, PA,
Gisela, AZ,
Glacier View, AK,
Glacier, WA,98.2%
Glade Spring, VA,100.0%
Gladeview, FL,90.1%
Gladeville, TN,98.9%
Gladewater, TX,
Gladstone, IL,
Gladstone, MI,93.7%
Gladstone, MO,
Gladstone, ND,
Gladstone, OR,98.4%
Glasco, NY,99.5%
Glasford, IL,97.6%
Glasgow Village, MO,98.5%
Glasgow, DE,100.9%
Glasgow, KY,94.4%
Glasgow, MO,
Glasgow, OR,100.0%
Glasgow, WV,
Glassboro, NJ,101.8%
Glassmanor, MD,100.0%
Glassport, PA,91.7%
Glastonbury Center, CT,106.3%
